City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Nanortalik,GL,2022-10-27 19:41:10,60.1432,-45.2371,34.54,80,99,7.83
1,Mar Del Plata,AR,2022-10-27 19:40:35,-38.0023,-57.5575,77.02,39,0,11.5
2,Hobart,AU,2022-10-27 19:41:11,-42.8794,147.3294,55.26,98,75,4.61
3,Punta Arenas,CL,2022-10-27 19:38:03,-53.15,-70.9167,46.42,57,100,6.91
4,Isangel,VU,2022-10-27 19:37:47,-19.55,169.2667,77.92,81,87,7.9
5,Atuona,PF,2022-10-27 19:41:13,-9.8,-139.0333,76.98,73,55,17.94
6,Ushuaia,AR,2022-10-27 19:39:40,-54.8,-68.3,51.42,53,20,13.8
7,Mahebourg,MU,2022-10-27 19:41:14,-20.4081,57.7,73.69,78,40,5.75
8,Jamestown,US,2022-10-27 19:41:00,42.097,-79.2353,53.53,62,0,9.22
9,Faanui,PF,2022-10-27 19:41:15,-16.4833,-151.75,79.63,66,100,5.99
10,Tuatapere,NZ,2022-10-27 19:41:15,-46.1333,167.6833,53.49,94,99,5.48
11,Saskylakh,RU,2022-10-27 19:41:16,71.9167,114.0833,-5.76,99,70,5.7
12,Okha,RU,2022-10-27 19:41:18,53.5739,142.9478,31.08,70,11,8.84
13,The Valley,AI,2022-10-27 19:41:18,18.217,-63.0578,84.34,70,20,16.11
14,Busselton,AU,2022-10-27 19:41:19,-33.65,115.3333,48.63,81,22,11.39
15,Dikson,RU,2022-10-27 19:41:20,73.5069,80.5464,25.83,95,100,18.41
16,Tambura,SS,2022-10-27 19:41:20,5.6,27.4667,72.3,76,43,1.99
17,Mataura,NZ,2022-10-27 19:41:21,-46.1927,168.8643,47.48,99,100,5.19
18,Vaini,TO,2022-10-27 19:41:22,-21.2,-175.2,73.56,94,75,8.05
19,Rivera,UY,2022-10-27 19:41:00,-30.9053,-55.5508,73.0,48,0,10.74
20,Provideniya,RU,2022-10-27 19:41:24,64.3833,-173.3,15.19,83,34,5.32
21,Ondjiva,AO,2022-10-27 19:41:24,-17.0667,15.7333,77.67,51,96,8.46
