Index,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Bartica,GY,89.92,broken clouds,6.4,-58.6167,Sloth Island Nature Resort
2,Bilma,NE,76.03,clear sky,18.6853,12.9164,Expeditions Ténére voyages
4,Key West,US,91.4,few clouds,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
8,Cayenne,GF,84.24,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
10,Sakakah,SA,74.77,overcast clouds,29.9697,40.2064,Fakhamat Al Orjoana Apartment
14,Tucurui,BR,93.74,overcast clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
17,Ponta Do Sol,PT,72.01,clear sky,32.6667,-17.1,Hotel do Campo
18,Mahebourg,MU,74.25,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
27,San Antero,CO,83.84,broken clouds,9.3741,-75.7589,Villamarina Inn chale
28,Carballo,ES,67.69,overcast clouds,43.213,-8.691,Pazo do Souto
30,Bhinmal,IN,77.9,clear sky,25.0,72.25,Jambheswar Bhavan(Gopi Khilery)
34,Demba,CD,68.36,overcast clouds,-5.51,22.2667,Guest House Du Cinquantenaire
42,Anastacio,BR,91.65,broken clouds,-20.4836,-55.8069,HOTEL ARARAS
46,Mbandaka,CD,70.97,overcast clouds,0.0487,18.2603,Guest House Epervier
47,Kambove,CD,73.58,broken clouds,-10.8764,26.5969,Pat. Mukendi
48,Salalah,OM,77.09,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
49,Moroto,UG,70.39,scattered clouds,2.5345,34.6666,"Kara-Tunga, Karamoja Safari Camp"
53,Cap Malheureux,MU,74.46,broken clouds,-19.9842,57.6142,Pereybere Hotel & Spa
55,Bandarbeyla,SO,79.16,light rain,9.4942,50.8122,JABIR HOTEL
57,Hit,IQ,72.97,clear sky,33.6416,42.8251,المعلق حسان رزاق
60,Bengkulu,ID,73.49,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
63,Bambous Virieux,MU,74.21,light rain,-20.3428,57.7575,Casa Tia Villa
65,Nchelenge,ZM,74.89,scattered clouds,-9.3451,28.734,KD Travellers Home
66,Danielskuil,ZA,72.88,broken clouds,-28.1887,23.5395,Botha'Sig Gastehuis
67,Royan,FR,68.85,overcast clouds,45.6285,-1.0281,CERISE Royan - Le Grand Hôtel de la Plage
69,Umm Lajj,SA,79.92,clear sky,25.0213,37.2685,Moon light Furnished Units
70,Massaguet,TD,86.16,overcast clouds,12.4755,15.4365,Alwatane
71,Inhambane,MZ,72.77,light rain,-23.865,35.3833,Oceano
72,Paragominas,BR,93.72,overcast clouds,-2.9667,-47.4833,INOVA
75,Souillac,MU,71.98,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
77,Kourou,GF,84.25,few clouds,5.1552,-52.6478,Lodge TAKINI4 Guesthouse KOUROU FGU
79,Mecca,SA,81.34,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
