Index,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Suamico,US,2022-10-28 20:16:46,44.6319,-88.0393,59.77,51,0,5.75,clear sky
1,Bartica,GY,2022-10-28 20:16:48,6.4,-58.6167,89.92,53,64,4.36,broken clouds
2,Bilma,NE,2022-10-28 20:16:48,18.6853,12.9164,76.03,21,0,9.69,clear sky
3,Bronnoysund,NO,2022-10-28 20:16:49,65.4625,12.1997,46.4,93,75,10.36,broken clouds
4,Key West,US,2022-10-28 20:15:18,24.5557,-81.7826,91.4,74,20,11.5,few clouds
5,Pervomaysk,UA,2022-10-28 20:16:49,48.0443,30.8507,51.03,78,100,4.09,overcast clouds
6,Hermanus,ZA,2022-10-28 20:16:50,-34.4187,19.2345,62.8,79,84,15.79,broken clouds
7,Muros,ES,2022-10-28 20:16:50,42.7762,-9.0603,64.09,89,100,20.94,moderate rain
8,Cayenne,GF,2022-10-28 20:16:51,4.9333,-52.3333,84.24,79,0,11.5,clear sky
9,Paamiut,GL,2022-10-28 20:16:51,61.994,-49.6678,35.02,96,100,15.86,snow
10,Sakakah,SA,2022-10-28 20:16:51,29.9697,40.2064,74.77,31,98,9.42,overcast clouds
11,Tiznit,MA,2022-10-28 20:16:52,29.5833,-9.5,77.99,14,5,3.91,clear sky
12,Oktyabrskoye,RU,2022-10-28 20:16:52,43.0645,44.7417,46.54,93,100,2.24,light rain
13,Tanout,NE,2022-10-28 20:16:53,14.9709,8.8879,80.35,17,0,10.29,clear sky
14,Tucurui,BR,2022-10-28 20:15:41,-3.7661,-49.6725,93.74,37,100,6.02,overcast clouds
15,Creemore,CA,2022-10-28 20:16:53,44.327,-80.1075,55.29,55,20,5.75,few clouds
16,Ushuaia,AR,2022-10-28 20:14:09,-54.8,-68.3,40.66,70,40,34.52,scattered clouds
17,Ponta Do Sol,PT,2022-10-28 20:16:54,32.6667,-17.1,72.01,85,8,6.44,clear sky
18,Mahebourg,MU,2022-10-28 20:13:08,-20.4081,57.7,74.25,76,60,10.25,broken clouds
19,Ostrovnoy,RU,2022-10-28 20:16:55,68.0531,39.5131,35.13,96,98,21.18,overcast clouds
20,Amapa,BR,2022-10-28 20:16:55,1.0,-52.0,78.24,89,98,3.04,overcast clouds
21,Angren,UZ,2022-10-28 20:16:56,41.0167,70.1436,54.86,52,98,4.94,overcast clouds
22,Sorland,NO,2022-10-28 20:16:56,67.667,12.6934,44.46,86,100,16.17,overcast clouds
23,Yozgat,TR,2022-10-28 20:16:57,39.5833,35.3333,42.04,75,4,6.62,clear sky
24,Shenavan,AM,2022-10-28 20:16:57,40.0549,43.9288,54.18,43,20,14.97,few clouds
25,Backi Jarak,RS,2022-10-28 20:16:58,45.3703,19.875,63.21,70,6,2.57,clear sky
26,Port Alfred,ZA,2022-10-28 20:16:58,-33.5906,26.891,63.18,80,100,4.0,overcast clouds
27,San Antero,CO,2022-10-28 20:16:58,9.3741,-75.7589,83.84,68,63,9.37,broken clouds
28,Carballo,ES,2022-10-28 20:16:59,43.213,-8.691,67.69,84,100,15.12,overcast clouds
29,Temiscaming,CA,2022-10-28 20:16:59,46.7212,-79.0971,51.31,40,37,8.05,scattered clouds
30,Bhinmal,IN,2022-10-28 20:14:40,25.0,72.25,77.9,34,0,5.55,clear sky
31,Tasiilaq,GL,2022-10-28 20:17:00,65.6145,-37.6368,35.76,77,100,3.65,overcast clouds
32,Iqaluit,CA,2022-10-28 20:17:00,63.7506,-68.5145,22.73,93,100,40.29,light snow
33,Trapani,IT,2022-10-28 20:17:01,37.8333,12.6667,68.09,88,75,2.3,broken clouds
34,Demba,CD,2022-10-28 20:17:01,-5.51,22.2667,68.36,98,100,1.14,overcast clouds
35,Ribeira Grande,PT,2022-10-28 20:17:02,38.5167,-28.7,59.77,67,20,9.22,few clouds
36,Ilulissat,GL,2022-10-28 20:17:02,69.2167,-51.1,36.43,100,100,9.35,light rain
37,Kaz,RU,2022-10-28 20:17:03,52.9113,87.3105,27.99,86,100,7.16,overcast clouds
38,Santiago Del Estero,AR,2022-10-28 20:17:04,-27.7951,-64.2615,99.36,21,0,12.1,clear sky
39,Kruisfontein,ZA,2022-10-28 20:17:04,-34.0033,24.7314,61.88,76,99,17.98,overcast clouds
40,Bredasdorp,ZA,2022-10-28 20:17:05,-34.5322,20.0403,60.62,82,98,15.41,overcast clouds
41,Lagoa,PT,2022-10-28 20:17:06,39.05,-27.9833,62.53,61,19,12.91,light rain
42,Anastacio,BR,2022-10-28 20:17:06,-20.4836,-55.8069,91.65,41,82,10.22,broken clouds
43,Zyryanovsk,KZ,2022-10-28 20:17:07,49.7386,84.2719,28.38,78,15,0.56,few clouds
44,Umm Kaddadah,SD,2022-10-28 20:17:07,13.6017,26.6876,82.74,19,16,13.35,few clouds
45,Pisco,PE,2022-10-28 20:17:08,-13.7,-76.2167,64.45,72,9,10.36,haze
46,Mbandaka,CD,2022-10-28 20:17:08,0.0487,18.2603,70.97,96,95,4.21,overcast clouds
47,Kambove,CD,2022-10-28 20:18:09,-10.8764,26.5969,73.58,37,65,2.89,broken clouds
48,Salalah,OM,2022-10-28 20:13:59,17.0151,54.0924,77.09,78,0,2.3,clear sky
49,Moroto,UG,2022-10-28 20:18:10,2.5345,34.6666,70.39,65,38,10.54,scattered clouds
50,Nanortalik,GL,2022-10-28 20:18:10,60.1432,-45.2371,40.78,95,100,18.14,moderate rain
