Index,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Mahebourg,MU,2022-10-28 18:20:10,-20.4081,57.7,74.25,88,40,5.75
1,Iqaluit,CA,2022-10-28 18:20:10,63.7506,-68.5145,22.73,93,100,46.04
2,Najran,SA,2022-10-28 18:16:56,17.4924,44.1277,68.65,22,2,3.31
3,Busselton,AU,2022-10-28 18:20:12,-33.65,115.3333,51.75,75,56,12.73
4,Tasiilaq,GL,2022-10-28 18:20:12,65.6145,-37.6368,39.36,72,100,1.97
5,Onda,ES,2022-10-28 18:20:13,39.9667,-0.25,68.9,84,96,0.72
6,Peniche,PT,2022-10-28 18:20:13,39.3558,-9.3811,71.08,80,100,19.3
7,Port Alfred,ZA,2022-10-28 18:20:14,-33.5906,26.891,64.18,77,100,4.0
8,Saldanha,ZA,2022-10-28 18:20:15,-33.0117,17.9442,63.21,83,79,10.36
9,Camapua,BR,2022-10-28 18:20:16,-19.5314,-54.0439,92.79,35,63,4.72
10,Velingara,SN,2022-10-28 18:20:16,13.15,-14.1167,87.69,53,89,3.87
11,Georgetown,MY,2022-10-28 18:19:27,5.4112,100.3354,78.24,93,20,0.0
12,Mar Del Plata,AR,2022-10-28 18:16:35,-38.0023,-57.5575,68.02,47,0,14.97
13,Hermanus,ZA,2022-10-28 18:20:18,-34.4187,19.2345,62.8,82,57,15.79
14,Ushuaia,AR,2022-10-28 18:20:18,-54.8,-68.3,47.82,75,75,28.77
15,Kruisfontein,ZA,2022-10-28 18:20:19,-34.0033,24.7314,60.89,73,98,17.45
16,Carnarvon,AU,2022-10-28 18:20:20,-24.8667,113.6333,66.4,60,3,18.77
17,Clyde River,CA,2022-10-28 18:20:20,70.4692,-68.5914,14.23,79,100,19.57
18,Salinopolis,BR,2022-10-28 18:20:22,-0.6136,-47.3561,85.15,67,88,15.32
19,Gobabis,NA,2022-10-28 18:20:22,-22.45,18.9667,85.39,15,1,3.76
20,Touros,BR,2022-10-28 18:20:22,-5.1989,-35.4608,83.21,68,51,18.05
21,Laguna,US,2022-10-28 18:20:23,38.421,-121.4238,73.09,44,0,5.75
22,Cape Town,ZA,2022-10-28 18:20:01,-33.9258,18.4232,69.12,66,0,10.36
23,Callaway,US,2022-10-28 18:20:25,30.153,-85.5699,79.95,71,20,8.05
24,Caxito,AO,2022-10-28 18:20:25,-8.5785,13.6643,78.93,81,54,7.85
25,Donskoye,RU,2022-10-28 18:20:26,45.4552,41.9741,46.53,74,92,7.27
26,Odweyne,SO,2022-10-28 18:20:27,9.4092,45.064,74.84,61,73,7.23
27,Longyearbyen,SJ,2022-10-28 18:20:28,78.2186,15.6401,24.64,63,75,6.91
28,Vardo,NO,2022-10-28 18:20:28,70.3705,31.1107,33.78,93,75,18.41
29,Necochea,AR,2022-10-28 18:20:29,-38.5473,-58.7368,63.99,56,84,15.59
30,Hualmay,PE,2022-10-28 18:20:30,-11.0964,-77.6139,66.94,69,59,8.63
31,Ostrovnoy,RU,2022-10-28 18:20:30,68.0531,39.5131,35.26,88,100,21.09
32,Saint-Philippe,RE,2022-10-28 18:20:31,-21.3585,55.7679,72.99,79,46,9.04
33,Port Elizabeth,ZA,2022-10-28 18:20:31,-33.918,25.5701,63.1,72,100,12.66
34,Faya,SA,2022-10-28 18:20:32,18.3851,42.4509,62.71,51,18,1.36
35,Chuy,UY,2022-10-28 18:20:32,-33.6971,-53.4616,79.7,39,0,10.2
36,Henties Bay,NA,2022-10-28 18:20:33,-22.116,14.2845,58.8,89,11,7.99
37,Qaanaaq,GL,2022-10-28 18:20:33,77.484,-69.3632,0.37,74,52,7.87
38,Ribeira Grande,PT,2022-10-28 18:20:34,38.5167,-28.7,64.8,55,20,11.5
39,Talnakh,RU,2022-10-28 18:20:34,69.4865,88.3972,20.21,89,100,16.51
40,Beloha,MG,2022-10-28 18:20:35,-25.1667,45.05,71.1,89,25,6.46
41,Sikeston,US,2022-10-28 18:20:35,36.8767,-89.5879,67.96,42,0,9.22
42,Saint George,US,2022-10-28 18:20:27,37.1041,-113.5841,57.43,30,0,1.01
43,Upernavik,GL,2022-10-28 18:20:36,72.7868,-56.1549,22.35,73,100,23.53
44,Mani,CO,2022-10-28 18:20:37,4.8172,-72.2886,85.73,70,65,8.81
45,Ambilobe,MG,2022-10-28 18:21:37,-13.2,49.05,74.93,70,63,4.32
46,Bredasdorp,ZA,2022-10-28 18:21:38,-34.5322,20.0403,60.57,78,72,19.39
